year,comunidad_autonoma,sexo,medida,value
2008,Andalucía,Hombres,cuartil_25,14757.95
2008,Andalucía,Hombres,cuartil_75,26005.41
2008,Andalucía,Hombres,media,22108.57
2008,Andalucía,Hombres,mediana,18513.57
2008,Andalucía,Mujeres,cuartil_25,9859.25
2008,Andalucía,Mujeres,cuartil_75,22198.09
2008,Andalucía,Mujeres,media,17298.33
2008,Andalucía,Mujeres,mediana,15137.4
2008,Aragón,Hombres,cuartil_25,16449.72
2008,Aragón,Hombres,cuartil_75,29441.16
2008,Aragón,Hombres,media,24272.36
2008,Aragón,Hombres,mediana,21551.6
2008,Aragón,Mujeres,cuartil_25,11113.81
2008,Aragón,Mujeres,cuartil_75,21890.54
2008,Aragón,Mujeres,media,17843.46
2008,Aragón,Mujeres,mediana,15608.17
2008,Asturias,Hombres,cuartil_25,15921.69
2008,Asturias,Hombres,cuartil_75,29593.39
2008,Asturias,Hombres,media,24306.27
2008,Asturias,Hombres,mediana,21173.29
2008,Asturias,Mujeres,cuartil_25,10925.78
2008,Asturias,Mujeres,cuartil_75,22456.42
2008,Asturias,Mujeres,media,18452.09
2008,Asturias,Mujeres,mediana,15419.78
2008,Canarias,Hombres,cuartil_25,13258.2
2008,Canarias,Hombres,cuartil_75,22563.83
2008,Canarias,Hombres,media,19516.93
2008,Canarias,Hombres,mediana,16310.4
2008,Canarias,Mujeres,cuartil_25,10303.63
2008,Canarias,Mujeres,cuartil_75,20542.93
2008,Canarias,Mujeres,media,17131.85
2008,Canarias,Mujeres,mediana,14621.63
2008,Cantabria,Hombres,cuartil_25,15546.39
2008,Cantabria,Hombres,cuartil_75,26679.56
2008,Cantabria,Hombres,media,22539.72
2008,Cantabria,Hombres,mediana,19401.56
2008,Cantabria,Mujeres,cuartil_25,10465.79
2008,Cantabria,Mujeres,cuartil_75,21810.64
2008,Cantabria,Mujeres,media,17460.14
2008,Cantabria,Mujeres,mediana,15029.34
2008,Castilla y León,Hombres,cuartil_25,14656.35
2008,Castilla y León,Hombres,cuartil_75,26504.73
2008,Castilla y León,Hombres,media,22117.28
2008,Castilla y León,Hombres,mediana,18663.75
2008,Castilla y León,Mujeres,cuartil_25,10445.72
2008,Castilla y León,Mujeres,cuartil_75,21733.65
2008,Castilla y León,Mujeres,media,17573.56
2008,Castilla y León,Mujeres,mediana,14817.65
2008,Castilla-La Mancha,Hombres,cuartil_25,14405.04
2008,Castilla-La Mancha,Hombres,cuartil_75,24158.8
2008,Castilla-La Mancha,Hombres,media,21141.95
2008,Castilla-La Mancha,Hombres,mediana,17456.35
2008,Castilla-La Mancha,Mujeres,cuartil_25,10271.64
2008,Castilla-La Mancha,Mujeres,cuartil_75,22037.78
2008,Castilla-La Mancha,Mujeres,media,17562.94
2008,Castilla-La Mancha,Mujeres,mediana,14887.81
2008,Cataluña,Hombres,cuartil_25,16421.65
2008,Cataluña,Hombres,cuartil_75,32385.25
2008,Cataluña,Hombres,media,26353.89
2008,Cataluña,Hombres,mediana,22477.59
2008,Cataluña,Mujeres,cuartil_25,11900.52
2008,Cataluña,Mujeres,cuartil_75,24755.68
2008,Cataluña,Mujeres,media,19928.48
2008,Cataluña,Mujeres,mediana,16949.36
2008,Comunidad de Madrid,Hombres,cuartil_25,15897.87
2008,Comunidad de Madrid,Hombres,cuartil_75,35649.96
2008,Comunidad de Madrid,Hombres,media,28228.42
2008,Comunidad de Madrid,Hombres,mediana,22633.84
2008,Comunidad de Madrid,Mujeres,cuartil_25,12039.09
2008,Comunidad de Madrid,Mujeres,cuartil_75,27719.89
2008,Comunidad de Madrid,Mujeres,media,21787.75
2008,Comunidad de Madrid,Mujeres,mediana,17532.26
2008,Comunitat Valenciana,Hombres,cuartil_25,14621.75
2008,Comunitat Valenciana,Hombres,cuartil_75,26073.14
2008,Comunitat Valenciana,Hombres,media,22039.14
2008,Comunitat Valenciana,Hombres,mediana,18500.25
2008,Comunitat Valenciana,Mujeres,cuartil_25,10458.44
2008,Comunitat Valenciana,Mujeres,cuartil_75,20693.12
2008,Comunitat Valenciana,Mujeres,media,16929.69
2008,Comunitat Valenciana,Mujeres,mediana,14699.57
2008,Extremadura,Hombres,cuartil_25,13506.72
2008,Extremadura,Hombres,cuartil_75,21664.25
2008,Extremadura,Hombres,media,19390.41
2008,Extremadura,Hombres,mediana,16043.7
2008,Extremadura,Mujeres,cuartil_25,10184.48
2008,Extremadura,Mujeres,cuartil_75,20850.98
2008,Extremadura,Mujeres,media,16623.4
2008,Extremadura,Mujeres,mediana,14217.78
2008,Galicia,Hombres,cuartil_25,14386.25
2008,Galicia,Hombres,cuartil_75,24501.56
2008,Galicia,Hombres,media,21105.6
2008,Galicia,Hombres,mediana,17253.93
2008,Galicia,Mujeres,cuartil_25,10201.5
2008,Galicia,Mujeres,cuartil_75,20256.48
2008,Galicia,Mujeres,media,16646.42
2008,Galicia,Mujeres,mediana,13859.44
2008,Illes Balears,Hombres,cuartil_25,14732.9
2008,Illes Balears,Hombres,cuartil_75,25004.38
2008,Illes Balears,Hombres,media,22253.73
2008,Illes Balears,Hombres,mediana,18199.91
2008,Illes Balears,Mujeres,cuartil_25,11853.68
2008,Illes Balears,Mujeres,cuartil_75,21092.28
2008,Illes Balears,Mujeres,media,18159.78
2008,Illes Balears,Mujeres,mediana,15385.11
2008,La Rioja,Hombres,cuartil_25,15874.8
2008,La Rioja,Hombres,cuartil_75,25979.36
2008,La Rioja,Hombres,media,22549.68
2008,La Rioja,Hombres,mediana,19392.13
2008,La Rioja,Mujeres,cuartil_25,10949.31
2008,La Rioja,Mujeres,cuartil_75,21894.92
2008,La Rioja,Mujeres,media,18364.2
2008,La Rioja,Mujeres,mediana,15450.58
2008,Navarra,Hombres,cuartil_25,19000.94
2008,Navarra,Hombres,cuartil_75,32498.86
2008,Navarra,Hombres,media,26635.75
2008,Navarra,Hombres,mediana,24983.72
2008,Navarra,Mujeres,cuartil_25,12036.96
2008,Navarra,Mujeres,cuartil_75,23829.72
2008,Navarra,Mujeres,media,19212.76
2008,Navarra,Mujeres,mediana,17073.42
2008,País Vasco,Hombres,cuartil_25,19086.06
2008,País Vasco,Hombres,cuartil_75,35508.0
2008,País Vasco,Hombres,media,28264.0
2008,País Vasco,Hombres,mediana,25863.81
2008,País Vasco,Mujeres,cuartil_25,12998.43
2008,País Vasco,Mujeres,cuartil_75,28657.13
2008,País Vasco,Mujeres,media,21766.07
2008,País Vasco,Mujeres,mediana,18774.61
2008,Región de Murcia,Hombres,cuartil_25,14704.93
2008,Región de Murcia,Hombres,cuartil_75,24952.73
2008,Región de Murcia,Hombres,media,21174.93
2008,Región de Murcia,Hombres,mediana,17602.94
2008,Región de Murcia,Mujeres,cuartil_25,9322.44
2008,Región de Murcia,Mujeres,cuartil_75,20421.27
2008,Región de Murcia,Mujeres,media,16020.2
2008,Región de Murcia,Mujeres,mediana,13626.31
2009,Andalucía,Hombres,cuartil_25,14880.34
2009,Andalucía,Hombres,cuartil_75,28186.49
2009,Andalucía,Hombres,media,22908.86
2009,Andalucía,Hombres,mediana,19125.41
2009,Andalucía,Mujeres,cuartil_25,10054.28
2009,Andalucía,Mujeres,cuartil_75,23749.28
2009,Andalucía,Mujeres,media,18371.23
2009,Andalucía,Mujeres,mediana,15963.82
2009,Aragón,Hombres,cuartil_25,16667.1
2009,Aragón,Hombres,cuartil_75,30147.1
2009,Aragón,Hombres,media,24787.81
2009,Aragón,Hombres,mediana,21989.38
2009,Aragón,Mujeres,cuartil_25,11323.32
2009,Aragón,Mujeres,cuartil_75,22993.08
2009,Aragón,Mujeres,media,18861.82
2009,Aragón,Mujeres,mediana,15878.02
2009,Asturias,Hombres,cuartil_25,16235.44
2009,Asturias,Hombres,cuartil_75,30900.02
2009,Asturias,Hombres,media,25175.71
2009,Asturias,Hombres,mediana,21397.37
2009,Asturias,Mujeres,cuartil_25,11366.85
2009,Asturias,Mujeres,cuartil_75,24173.23
2009,Asturias,Mujeres,media,19289.76
2009,Asturias,Mujeres,mediana,15857.5
2009,Canarias,Hombres,cuartil_25,13590.0
2009,Canarias,Hombres,cuartil_75,24200.4
2009,Canarias,Hombres,media,20109.24
2009,Canarias,Hombres,mediana,16949.1
2009,Canarias,Mujeres,cuartil_25,10595.76
2009,Canarias,Mujeres,cuartil_75,21483.88
2009,Canarias,Mujeres,media,17528.33
2009,Canarias,Mujeres,mediana,15139.91
2009,Cantabria,Hombres,cuartil_25,15767.6
2009,Cantabria,Hombres,cuartil_75,27898.78
2009,Cantabria,Hombres,media,22933.0
2009,Cantabria,Hombres,mediana,20134.47
2009,Cantabria,Mujeres,cuartil_25,10343.01
2009,Cantabria,Mujeres,cuartil_75,23159.33
2009,Cantabria,Mujeres,media,18210.65
2009,Cantabria,Mujeres,mediana,14415.9
2009,Castilla y León,Hombres,cuartil_25,14865.17
2009,Castilla y León,Hombres,cuartil_75,27749.03
2009,Castilla y León,Hombres,media,23116.47
2009,Castilla y León,Hombres,mediana,19133.17
2009,Castilla y León,Mujeres,cuartil_25,10573.33
2009,Castilla y León,Mujeres,cuartil_75,22894.37
2009,Castilla y León,Mujeres,media,18249.87
2009,Castilla y León,Mujeres,mediana,15309.12
2009,Castilla-La Mancha,Hombres,cuartil_25,14896.75
2009,Castilla-La Mancha,Hombres,cuartil_75,25093.3
2009,Castilla-La Mancha,Hombres,media,21980.61
2009,Castilla-La Mancha,Hombres,mediana,18001.5
2009,Castilla-La Mancha,Mujeres,cuartil_25,10302.2
2009,Castilla-La Mancha,Mujeres,cuartil_75,22109.88
2009,Castilla-La Mancha,Mujeres,media,17709.92
2009,Castilla-La Mancha,Mujeres,mediana,15057.5
2009,Cataluña,Hombres,cuartil_25,16978.71
2009,Cataluña,Hombres,cuartil_75,32997.5
2009,Cataluña,Hombres,media,26901.3
2009,Cataluña,Hombres,mediana,23196.66
2009,Cataluña,Mujeres,cuartil_25,12155.03
2009,Cataluña,Mujeres,cuartil_75,25885.35
2009,Cataluña,Mujeres,media,20467.14
2009,Cataluña,Mujeres,mediana,17630.34
2009,Comunidad de Madrid,Hombres,cuartil_25,16422.0
2009,Comunidad de Madrid,Hombres,cuartil_75,37212.94
2009,Comunidad de Madrid,Hombres,media,29333.06
2009,Comunidad de Madrid,Hombres,mediana,23526.93
2009,Comunidad de Madrid,Mujeres,cuartil_25,12448.45
2009,Comunidad de Madrid,Mujeres,cuartil_75,27994.3
2009,Comunidad de Madrid,Mujeres,media,22048.25
2009,Comunidad de Madrid,Mujeres,mediana,17845.57
2009,Comunitat Valenciana,Hombres,cuartil_25,15146.7
2009,Comunitat Valenciana,Hombres,cuartil_75,27810.02
2009,Comunitat Valenciana,Hombres,media,22951.64
2009,Comunitat Valenciana,Hombres,mediana,19025.75
2009,Comunitat Valenciana,Mujeres,cuartil_25,10229.54
2009,Comunitat Valenciana,Mujeres,cuartil_75,21691.3
2009,Comunitat Valenciana,Mujeres,media,17426.72
2009,Comunitat Valenciana,Mujeres,mediana,15001.98
2009,Extremadura,Hombres,cuartil_25,13741.96
2009,Extremadura,Hombres,cuartil_75,22967.51
2009,Extremadura,Hombres,media,20207.93
2009,Extremadura,Hombres,mediana,16710.36
2009,Extremadura,Mujeres,cuartil_25,10057.2
2009,Extremadura,Mujeres,cuartil_75,22824.18
2009,Extremadura,Mujeres,media,17549.86
2009,Extremadura,Mujeres,mediana,15103.1
2009,Galicia,Hombres,cuartil_25,14575.86
2009,Galicia,Hombres,cuartil_75,25696.95
2009,Galicia,Hombres,media,21829.8
2009,Galicia,Hombres,mediana,17724.17
2009,Galicia,Mujeres,cuartil_25,10593.37
2009,Galicia,Mujeres,cuartil_75,21676.96
2009,Galicia,Mujeres,media,17342.32
2009,Galicia,Mujeres,mediana,14605.25
2009,Illes Balears,Hombres,cuartil_25,15148.63
2009,Illes Balears,Hombres,cuartil_75,26518.22
2009,Illes Balears,Hombres,media,23285.93
2009,Illes Balears,Hombres,mediana,18869.73
2009,Illes Balears,Mujeres,cuartil_25,12707.4
2009,Illes Balears,Mujeres,cuartil_75,22117.55
2009,Illes Balears,Mujeres,media,18702.72
2009,Illes Balears,Mujeres,mediana,15889.99
2009,La Rioja,Hombres,cuartil_25,16108.09
2009,La Rioja,Hombres,cuartil_75,26865.55
2009,La Rioja,Hombres,media,23240.0
2009,La Rioja,Hombres,mediana,20019.66
2009,La Rioja,Mujeres,cuartil_25,11762.2
2009,La Rioja,Mujeres,cuartil_75,22536.54
2009,La Rioja,Mujeres,media,18702.22
2009,La Rioja,Mujeres,mediana,16011.14
2009,Navarra,Hombres,cuartil_25,18991.4
2009,Navarra,Hombres,cuartil_75,32785.52
2009,Navarra,Hombres,media,26755.77
2009,Navarra,Hombres,mediana,24499.72
2009,Navarra,Mujeres,cuartil_25,11986.88
2009,Navarra,Mujeres,cuartil_75,24633.33
2009,Navarra,Mujeres,media,19487.55
2009,Navarra,Mujeres,mediana,17933.01
2009,País Vasco,Hombres,cuartil_25,19324.52
2009,País Vasco,Hombres,cuartil_75,36052.56
2009,País Vasco,Hombres,media,28889.92
2009,País Vasco,Hombres,mediana,26269.99
2009,País Vasco,Mujeres,cuartil_25,12940.86
2009,País Vasco,Mujeres,cuartil_75,30479.78
2009,País Vasco,Mujeres,media,22502.47
2009,País Vasco,Mujeres,mediana,19422.02
2009,Región de Murcia,Hombres,cuartil_25,14926.58
2009,Región de Murcia,Hombres,cuartil_75,27868.92
2009,Región de Murcia,Hombres,media,22628.62
2009,Región de Murcia,Hombres,mediana,18578.36
2009,Región de Murcia,Mujeres,cuartil_25,9567.77
2009,Región de Murcia,Mujeres,cuartil_75,22295.6
2009,Región de Murcia,Mujeres,media,17384.95
2009,Región de Murcia,Mujeres,mediana,14140.0
2010,Andalucía,Hombres,cuartil_25,15000.28
2010,Andalucía,Hombres,cuartil_75,28035.21
2010,Andalucía,Hombres,media,23463.96
2010,Andalucía,Hombres,mediana,19328.83
2010,Andalucía,Mujeres,cuartil_25,9967.4
2010,Andalucía,Mujeres,cuartil_75,22617.39
2010,Andalucía,Mujeres,media,17921.33
2010,Andalucía,Mujeres,mediana,14845.01
2010,Aragón,Hombres,cuartil_25,16806.8
2010,Aragón,Hombres,cuartil_75,30260.95
2010,Aragón,Hombres,media,25263.29
2010,Aragón,Hombres,mediana,22129.41
2010,Aragón,Mujeres,cuartil_25,11586.66
2010,Aragón,Mujeres,cuartil_75,23033.22
2010,Aragón,Mujeres,media,18843.25
2010,Aragón,Mujeres,mediana,16412.07
2010,Asturias,Hombres,cuartil_25,16680.81
2010,Asturias,Hombres,cuartil_75,31148.16
2010,Asturias,Hombres,media,25170.79
2010,Asturias,Hombres,mediana,21831.09
2010,Asturias,Mujeres,cuartil_25,11465.37
2010,Asturias,Mujeres,cuartil_75,23519.22
2010,Asturias,Mujeres,media,18786.13
2010,Asturias,Mujeres,mediana,15362.12
2010,Canarias,Hombres,cuartil_25,13055.06
2010,Canarias,Hombres,cuartil_75,25503.84
2010,Canarias,Hombres,media,20986.94
2010,Canarias,Hombres,mediana,16986.2
2010,Canarias,Mujeres,cuartil_25,10263.08
2010,Canarias,Mujeres,cuartil_75,21771.48
2010,Canarias,Mujeres,media,17601.79
2010,Canarias,Mujeres,mediana,14370.7
2010,Cantabria,Hombres,cuartil_25,15973.91
2010,Cantabria,Hombres,cuartil_75,29034.92
2010,Cantabria,Hombres,media,23924.51
2010,Cantabria,Hombres,mediana,20491.2
2010,Cantabria,Mujeres,cuartil_25,10578.72
2010,Cantabria,Mujeres,cuartil_75,22075.96
2010,Cantabria,Mujeres,media,17887.59
2010,Cantabria,Mujeres,mediana,14813.15
2010,Castilla y León,Hombres,cuartil_25,15278.42
2010,Castilla y León,Hombres,cuartil_75,28604.57
2010,Castilla y León,Hombres,media,23640.67
2010,Castilla y León,Hombres,mediana,19553.56
2010,Castilla y León,Mujeres,cuartil_25,10239.1
2010,Castilla y León,Mujeres,cuartil_75,21828.54
2010,Castilla y León,Mujeres,media,17683.88
2010,Castilla y León,Mujeres,mediana,15103.16
2010,Castilla-La Mancha,Hombres,cuartil_25,15304.92
2010,Castilla-La Mancha,Hombres,cuartil_75,25468.7
2010,Castilla-La Mancha,Hombres,media,22292.84
2010,Castilla-La Mancha,Hombres,mediana,18649.8
2010,Castilla-La Mancha,Mujeres,cuartil_25,10193.69
2010,Castilla-La Mancha,Mujeres,cuartil_75,22265.92
2010,Castilla-La Mancha,Mujeres,media,17913.0
2010,Castilla-La Mancha,Mujeres,mediana,15059.88
2010,Cataluña,Hombres,cuartil_25,17254.96
2010,Cataluña,Hombres,cuartil_75,34215.18
2010,Cataluña,Hombres,media,27601.02
2010,Cataluña,Hombres,mediana,23488.62
2010,Cataluña,Mujeres,cuartil_25,12314.57
2010,Cataluña,Mujeres,cuartil_75,26680.29
2010,Cataluña,Mujeres,media,21042.14
2010,Cataluña,Mujeres,mediana,18016.02
2010,Comunidad de Madrid,Hombres,cuartil_25,16650.2
2010,Comunidad de Madrid,Hombres,cuartil_75,36000.02
2010,Comunidad de Madrid,Hombres,media,29016.28
2010,Comunidad de Madrid,Hombres,mediana,23662.92
2010,Comunidad de Madrid,Mujeres,cuartil_25,13081.11
2010,Comunidad de Madrid,Mujeres,cuartil_75,28789.2
2010,Comunidad de Madrid,Mujeres,media,22721.17
2010,Comunidad de Madrid,Mujeres,mediana,18788.2
2010,Comunitat Valenciana,Hombres,cuartil_25,14890.79
2010,Comunitat Valenciana,Hombres,cuartil_75,27990.08
2010,Comunitat Valenciana,Hombres,media,23331.71
2010,Comunitat Valenciana,Hombres,mediana,19562.83
2010,Comunitat Valenciana,Mujeres,cuartil_25,10660.83
2010,Comunitat Valenciana,Mujeres,cuartil_75,22202.72
2010,Comunitat Valenciana,Mujeres,media,17776.59
2010,Comunitat Valenciana,Mujeres,mediana,15293.73
2010,Extremadura,Hombres,cuartil_25,13922.04
2010,Extremadura,Hombres,cuartil_75,22923.6
2010,Extremadura,Hombres,media,20787.03
2010,Extremadura,Hombres,mediana,16856.46
2010,Extremadura,Mujeres,cuartil_25,9962.15
2010,Extremadura,Mujeres,cuartil_75,23111.87
2010,Extremadura,Mujeres,media,17876.85
2010,Extremadura,Mujeres,mediana,14334.72
2010,Galicia,Hombres,cuartil_25,15403.59
2010,Galicia,Hombres,cuartil_75,25925.22
2010,Galicia,Hombres,media,22626.21
2010,Galicia,Hombres,mediana,18574.49
2010,Galicia,Mujeres,cuartil_25,10755.09
2010,Galicia,Mujeres,cuartil_75,21709.52
2010,Galicia,Mujeres,media,17691.11
2010,Galicia,Mujeres,mediana,14992.42
2010,Illes Balears,Hombres,cuartil_25,15292.65
2010,Illes Balears,Hombres,cuartil_75,27463.27
2010,Illes Balears,Hombres,media,23213.04
2010,Illes Balears,Hombres,mediana,19609.49
2010,Illes Balears,Mujeres,cuartil_25,13133.39
2010,Illes Balears,Mujeres,cuartil_75,24034.08
2010,Illes Balears,Mujeres,media,19812.19
2010,Illes Balears,Mujeres,mediana,17240.49
2010,La Rioja,Hombres,cuartil_25,16206.31
2010,La Rioja,Hombres,cuartil_75,27084.72
2010,La Rioja,Hombres,media,23641.44
2010,La Rioja,Hombres,mediana,20413.18
2010,La Rioja,Mujeres,cuartil_25,10950.0
2010,La Rioja,Mujeres,cuartil_75,22202.6
2010,La Rioja,Mujeres,media,18131.05
2010,La Rioja,Mujeres,mediana,15653.58
2010,Navarra,Hombres,cuartil_25,18593.62
2010,Navarra,Hombres,cuartil_75,32534.65
2010,Navarra,Hombres,media,26982.49
2010,Navarra,Hombres,mediana,24699.19
2010,Navarra,Mujeres,cuartil_25,12350.65
2010,Navarra,Mujeres,cuartil_75,25260.11
2010,Navarra,Mujeres,media,19927.15
2010,Navarra,Mujeres,mediana,18188.13
2010,País Vasco,Hombres,cuartil_25,19553.56
2010,País Vasco,Hombres,cuartil_75,36870.47
2010,País Vasco,Hombres,media,29708.66
2010,País Vasco,Hombres,mediana,27126.19
2010,País Vasco,Mujeres,cuartil_25,13001.53
2010,País Vasco,Mujeres,cuartil_75,30016.19
2010,País Vasco,Mujeres,media,22706.1
2010,País Vasco,Mujeres,mediana,19447.42
2010,Región de Murcia,Hombres,cuartil_25,14977.48
2010,Región de Murcia,Hombres,cuartil_75,27926.66
2010,Región de Murcia,Hombres,media,23482.48
2010,Región de Murcia,Hombres,mediana,19343.5
2010,Región de Murcia,Mujeres,cuartil_25,10212.36
2010,Región de Murcia,Mujeres,cuartil_75,21813.52
2010,Región de Murcia,Mujeres,media,17838.28
2010,Región de Murcia,Mujeres,mediana,14562.5
2011,Andalucía,Hombres,cuartil_25,14839.16
2011,Andalucía,Hombres,cuartil_75,29326.05
2011,Andalucía,Hombres,media,23815.22
2011,Andalucía,Hombres,mediana,19772.01
2011,Andalucía,Mujeres,cuartil_25,9858.12
2011,Andalucía,Mujeres,cuartil_75,23973.22
2011,Andalucía,Mujeres,media,18389.21
2011,Andalucía,Mujeres,mediana,15578.41
2011,Aragón,Hombres,cuartil_25,16616.19
2011,Aragón,Hombres,cuartil_75,30535.09
2011,Aragón,Hombres,media,25258.68
2011,Aragón,Hombres,mediana,22542.61
2011,Aragón,Mujeres,cuartil_25,11502.38
2011,Aragón,Mujeres,cuartil_75,23769.33
2011,Aragón,Mujeres,media,18831.38
2011,Aragón,Mujeres,mediana,16206.05
2011,Asturias,Hombres,cuartil_25,16795.11
2011,Asturias,Hombres,cuartil_75,31127.8
2011,Asturias,Hombres,media,25346.39
2011,Asturias,Hombres,mediana,22029.51
2011,Asturias,Mujeres,cuartil_25,11635.41
2011,Asturias,Mujeres,cuartil_75,23333.16
2011,Asturias,Mujeres,media,18721.59
2011,Asturias,Mujeres,mediana,15478.73
2011,Canarias,Hombres,cuartil_25,13123.3
2011,Canarias,Hombres,cuartil_75,24850.91
2011,Canarias,Hombres,media,21090.86
2011,Canarias,Hombres,mediana,17775.63
